id,type,class
114,CHILDREN,5_open@1@1
115,KITCHEN,5_open@2@2
116,STORAGE,5_open@3@1
117,SLEEPING,5_open@1@2
118,BATH,5_open@2@1
119,BATH,5_open@1@1
120,LIVING,5_open@1@2
121,CORRIDOR,5_open@0@6
122,SLEEPING,5_open@1@1
123,SLEEPING,5_open@1@1
124,CHILDREN,5_open@1@1
125,CORRIDOR,5_open@0@8
126,SLEEPING,5_open@1@2
127,CHILDREN,5_open@1@1
128,BATH,5_open@1@2
129,LIVING,5_open@1@3
130,KITCHEN,5_open@1@2
131,SLEEPING,5_open@1@1
132,CHILDREN,5_open@1@1
133,STORAGE,5_open@1@1
134,EXTERIOR,5_open@2@1
135,SLEEPING,5_open@1@1
136,BATH,5_open@1@1
137,SLEEPING,5_open@1@1
138,KITCHEN,5_open@2@1
139,LIVING,5_open@1@2
140,CORRIDOR,5_open@0@7
141,SLEEPING,5_open@1@1
142,CHILDREN,5_open@1@1
143,STORAGE,5_open@1@1
144,WORKING,5_open@3@1
145,KITCHEN,5_open@2@2
146,BATH,5_open@1@1
147,STORAGE,5_open@2@1
148,SLEEPING,5_open@1@2
149,LIVING,5_open@1@3
150,CORRIDOR,5_open@0@5
151,SLEEPING,5_open@1@1
152,CHILDREN,5_open@1@1
153,EXTERIOR,5_open@2@1
154,SLEEPING,5_open@1@1
155,BATH,5_open@1@1
156,SLEEPING,5_open@1@1
157,KITCHEN,5_open@2@1
158,LIVING,5_open@1@3
159,CORRIDOR,5_open@0@7
160,SLEEPING,5_open@1@1
161,CHILDREN,5_open@1@1
162,STORAGE,5_open@1@1
163,EXTERIOR,5_open@2@1
164,WORKING,5_open@1@2
165,CORRIDOR,5_open@0@6
166,EXTERIOR,5_open@1@1
167,LIVING,5_open@1@4
168,EXTERIOR,5_open@2@1
169,KITCHEN,5_open@2@1
170,BATH,5_open@2@1
171,CORRIDOR,5_open@1@2
172,CHILDREN,5_open@2@1
173,SLEEPING,5_open@2@1
174,SLEEPING,5_open@1@1
175,STORAGE,5_open@1@1
176,KITCHEN,5_open@2@1
177,LIVING,5_open@1@3
178,BATH,5_open@1@1
179,SLEEPING,5_open@1@1
180,SLEEPING,5_open@1@1
181,CORRIDOR,5_open@0@7
182,SLEEPING,5_open@1@1
183,CHILDREN,5_open@1@1
184,STORAGE,5_open@1@1
185,EXTERIOR,5_open@2@1
186,WORKING,5_open@1@2
187,CORRIDOR,5_open@0@5
188,EXTERIOR,5_open@1@1
189,LIVING,5_open@1@4
190,EXTERIOR,5_open@2@1
191,KITCHEN,5_open@2@1
192,BATH,5_open@2@1
193,CORRIDOR,5_open@1@2
194,CHILDREN,5_open@2@1
195,SLEEPING,5_open@2@1
196,SLEEPING,5_open@1@1
197,SLEEPING,5_open@1@1
198,BATH,5_open@1@1
199,SLEEPING,5_open@1@1
200,CORRIDOR,5_open@0@6
201,KITCHEN,5_open@2@1
202,LIVING,5_open@1@2
203,SLEEPING,5_open@1@1
204,CHILDREN,5_open@1@1
205,SLEEPING,5_open@1@1
206,BATH,5_open@1@1
207,KITCHEN,5_open@2@1
208,SLEEPING,5_open@1@1
209,LIVING,5_open@1@3
210,CORRIDOR,5_open@0@7
211,SLEEPING,5_open@1@1
212,CHILDREN,5_open@1@1
213,STORAGE,5_open@1@1
214,EXTERIOR,5_open@2@1
215,CORRIDOR,5_open@0@7
216,SLEEPING,5_open@1@2
217,CHILDREN,5_open@1@1
218,BATH,5_open@1@2
219,LIVING,5_open@1@3
220,KITCHEN,5_open@1@2
221,SLEEPING,5_open@1@1
222,CHILDREN,5_open@1@1
223,EXTERIOR,5_open@2@1
224,WORKING,5_open@1@2
225,CORRIDOR,5_open@0@6
226,EXTERIOR,5_open@1@1
227,LIVING,5_open@1@4
228,EXTERIOR,5_open@2@1
229,SLEEPING,5_open@2@1
230,KITCHEN,5_open@2@1
231,BATH,5_open@2@1
232,SLEEPING,5_open@1@1
233,CHILDREN,5_open@1@1
234,STORAGE,5_open@1@1
235,CORRIDOR,5_open@0@7
236,SLEEPING,5_open@1@2
237,WORKING,5_open@1@1
238,BATH,5_open@1@2
239,LIVING,5_open@1@3
240,KITCHEN,5_open@1@2
241,SLEEPING,5_open@1@1
242,CHILDREN,5_open@1@1
243,EXTERIOR,5_open@2@1
244,WORKING,5_open@1@2
245,CORRIDOR,5_open@0@5
246,EXTERIOR,5_open@1@1
247,LIVING,5_open@1@4
248,EXTERIOR,5_open@2@1
249,SLEEPING,5_open@2@1
250,KITCHEN,5_open@2@1
251,BATH,5_open@2@1
252,SLEEPING,5_open@1@1
253,CHILDREN,5_open@1@1
254,KITCHEN,5_open@2@1
255,LIVING,5_open@1@2
256,BATH,5_open@1@1
257,SLEEPING,5_open@1@1
258,SLEEPING,5_open@1@1
259,CORRIDOR,5_open@0@6
260,SLEEPING,5_open@1@1
261,CHILDREN,5_open@1@1
262,SLEEPING,5_open@1@1
263,BATH,5_open@1@1
264,KITCHEN,5_open@2@1
265,SLEEPING,5_open@1@1
266,LIVING,5_open@1@2
267,CORRIDOR,5_open@0@6
268,SLEEPING,5_open@1@1
269,CHILDREN,5_open@1@1
270,CORRIDOR,5_open@0@7
271,SLEEPING,5_open@1@2
272,CHILDREN,5_open@1@1
273,BATH,5_open@1@2
274,LIVING,5_open@1@3
275,KITCHEN,5_open@1@2
276,SLEEPING,5_open@1@1
277,CHILDREN,5_open@1@1
278,EXTERIOR,5_open@2@1
279,CORRIDOR,5_open@0@8
280,SLEEPING,5_open@1@2
281,CHILDREN,5_open@1@1
282,BATH,5_open@1@2
283,LIVING,5_open@1@2
284,KITCHEN,5_open@1@2
285,SLEEPING,5_open@1@1
286,CHILDREN,5_open@1@1
287,STORAGE,5_open@1@1
288,SLEEPING,5_open@1@1
289,SLEEPING,5_open@1@1
290,BATH,5_open@1@1
291,KITCHEN,5_open@2@1
292,CORRIDOR,5_open@0@6
293,LIVING,5_open@1@2
294,SLEEPING,5_open@1@1
295,CHILDREN,5_open@1@1
296,CORRIDOR,5_open@0@7
297,SLEEPING,5_open@1@2
298,CHILDREN,5_open@1@1
299,BATH,5_open@1@2
300,LIVING,5_open@1@2
301,KITCHEN,5_open@1@2
302,SLEEPING,5_open@1@1
303,CHILDREN,5_open@1@1
304,CORRIDOR,5_open@0@7
305,SLEEPING,5_open@1@2
306,CHILDREN,5_open@1@1
307,BATH,5_open@1@2
308,LIVING,5_open@1@2
309,KITCHEN,5_open@1@2
310,SLEEPING,5_open@1@1
311,CHILDREN,5_open@1@1
312,CORRIDOR,5_open@0@8
313,SLEEPING,5_open@1@2
314,CHILDREN,5_open@1@1
315,BATH,5_open@1@2
316,LIVING,5_open@1@3
317,KITCHEN,5_open@1@2
318,SLEEPING,5_open@1@1
319,CHILDREN,5_open@1@1
320,STORAGE,5_open@1@1
321,EXTERIOR,5_open@2@1
322,CORRIDOR,5_open@0@8
323,SLEEPING,5_open@1@2
324,CHILDREN,5_open@1@1
325,BATH,5_open@1@2
326,LIVING,5_open@1@2
327,KITCHEN,5_open@1@2
328,SLEEPING,5_open@1@1
329,CHILDREN,5_open@1@1
330,STORAGE,5_open@1@1
331,KITCHEN,5_open@2@1
332,LIVING,5_open@1@3
333,BATH,5_open@1@1
334,SLEEPING,5_open@1@1
335,SLEEPING,5_open@1@1
336,CORRIDOR,5_open@0@6
337,SLEEPING,5_open@1@1
338,CHILDREN,5_open@1@1
339,EXTERIOR,5_open@2@1
340,SLEEPING,5_open@1@1
341,BATH,5_open@1@1
342,KITCHEN,5_open@2@1
343,SLEEPING,5_open@1@1
344,LIVING,5_open@1@3
345,CORRIDOR,5_open@0@6
346,SLEEPING,5_open@1@1
347,CHILDREN,5_open@1@1
348,EXTERIOR,5_open@2@1
349,CORRIDOR,5_open@0@8
350,SLEEPING,5_open@1@2
351,WORKING,5_open@1@1
352,BATH,5_open@1@2
353,LIVING,5_open@1@3
354,KITCHEN,5_open@1@2
355,SLEEPING,5_open@1@1
356,CHILDREN,5_open@1@1
357,STORAGE,5_open@1@1
358,EXTERIOR,5_open@2@1
359,CORRIDOR,5_open@0@7
360,SLEEPING,5_open@1@2
361,WORKING,5_open@1@1
362,BATH,5_open@1@2
363,LIVING,5_open@1@2
364,KITCHEN,5_open@1@2
365,SLEEPING,5_open@1@1
366,CHILDREN,5_open@1@1
367,KITCHEN,5_open@2@1
368,LIVING,5_open@1@3
369,SLEEPING,5_open@1@1
370,BATH,5_open@1@1
371,SLEEPING,5_open@1@3
372,STORAGE,5_open@2@1
373,BATH,5_open@2@1
374,CORRIDOR,5_open@0@6
375,SLEEPING,5_open@1@1
376,CHILDREN,5_open@1@1
377,EXTERIOR,5_open@2@1
378,SLEEPING,5_open@1@1
379,SLEEPING,5_open@1@1
380,BATH,5_open@1@1
381,KITCHEN,5_open@2@1
382,CORRIDOR,5_open@0@6
383,LIVING,5_open@1@3
384,SLEEPING,5_open@1@1
385,CHILDREN,5_open@1@1
386,EXTERIOR,5_open@2@1
387,CORRIDOR,1_open@1@5
388,BATH,1_open@2@1
389,SLEEPING,1_open@2@2
390,TOILET,1_open@2@2
391,CORRIDOR,1_open@0@1
392,STORAGE,1_open@2@1
393,TOILET,1_open@2@1
394,LIVING,1_open@1@4
395,CORRIDOR,1_open@0@1
396,KITCHEN,1_open@2@1
397,EXTERIOR,1_open@2@1
398,CORRIDOR,1_open@1@5
399,BATH,1_open@2@1
400,SLEEPING,1_open@2@2
401,TOILET,1_open@2@2
402,CORRIDOR,1_open@0@1
403,STORAGE,1_open@2@1
404,CORRIDOR,1_open@1@1
405,CORRIDOR,1_open@0@2
406,CHILDREN,1_open@1@3
407,TOILET,1_open@2@1
408,BATH,1_open@2@1
409,TOILET,1_open@1@1
410,CORRIDOR,1_open@0@4
411,CORRIDOR,1_open@1@1
412,ROOM,1_open@1@1
413,STORAGE,1_open@1@1
414,CORRIDOR,1_open@0@2
415,CHILDREN,1_open@1@2
416,BATH,1_open@2@1
417,STORAGE,1_open@1@1
418,TOILET,1_open@2@1
419,LIVING,1_open@1@3
420,CORRIDOR,1_open@0@2
421,KITCHEN,1_open@2@1
422,STORAGE,1_open@1@1
423,CORRIDOR,1_open@0@2
424,ROOM,1_open@1@2
425,BATH,1_open@2@1
426,STORAGE,1_open@1@1
427,TOILET,1_open@1@1
428,CORRIDOR,1_open@0@4
429,SLEEPING,1_open@1@2
430,BATH,1_open@1@2
431,STORAGE,1_open@1@1
432,CORRIDOR,1_open@0@3
433,LIVING,1_open@1@2
434,BATH,1_open@1@2
435,STORAGE,1_open@1@1
436,TOILET,1_open@2@1
437,SLEEPING,1_open@1@3
438,CORRIDOR,1_open@0@2
439,BATH,1_open@2@1
440,STORAGE,1_open@1@1
441,CORRIDOR,1_open@1@1
442,CORRIDOR,1_open@0@4
443,WORKING,1_open@1@2
444,TOILET,1_open@2@1
445,BATH,1_open@1@1
446,STORAGE,1_open@1@1
447,TOILET,1_open@1@2
448,WORKING,1_open@1@2
449,CORRIDOR,1_open@0@5
450,TOILET,1_open@1@1
451,BATH,1_open@1@1
452,STORAGE,1_open@1@1
453,CORRIDOR,1_open@1@1
454,CORRIDOR,1_open@0@3
455,SLEEPING,1_open@1@3
456,TOILET,1_open@2@1
457,BATH,1_open@2@1
458,STORAGE,1_open@1@1
459,CORRIDOR,1_open@0@1
460,CORRIDOR,1_open@1@3
461,EXTERIOR,1_open@4@1
462,BATH,1_open@3@2
463,WORKING,1_open@2@3
464,BATH,1_open@3@1
465,STORAGE,1_open@2@1
466,CORRIDOR,1_open@0@1
467,CORRIDOR,1_open@1@3
468,EXTERIOR,1_open@4@1
469,BATH,1_open@3@2
470,SLEEPING,1_open@2@3
471,BATH,1_open@3@1
472,STORAGE,1_open@2@1
473,CORRIDOR,1_open@0@2
474,EXTERIOR,1_open@1@2
475,BATH,1_open@3@1
476,CHILDREN,1_open@2@2
477,STORAGE,1_open@1@1
478,CORRIDOR,1_open@1@4
479,BATH,1_open@2@1
480,ROOM,1_open@2@2
481,TOILET,1_open@2@2
482,CORRIDOR,1_open@0@1
483,CORRIDOR,1_open@0@4
484,TOILET,1_open@1@1
485,KITCHEN,1_open@1@2
486,SLEEPING,1_open@1@2
487,STORAGE,1_open@1@1
488,CORRIDOR,1_open@0@1
489,SLEEPING,1_open@1@2
490,BATH,1_open@2@1
491,CORRIDOR,1_open@0@2
492,SLEEPING,1_open@1@2
493,BATH,1_open@1@2
494,CORRIDOR,1_open@0@3
495,TOILET,1_open@1@1
496,CORRIDOR,1_open@1@1
497,KITCHEN,1_open@1@2
498,LIVING,1_open@2@2
499,EXTERIOR,1_open@3@1
500,CORRIDOR,1_open@0@1
501,CORRIDOR,1_open@1@3
502,EXTERIOR,1_open@4@1
503,TOILET,1_open@3@2
504,CHILDREN,1_open@2@3
505,BATH,1_open@3@1
506,STORAGE,1_open@2@1
507,CORRIDOR,1_open@0@3
508,ROOM,1_open@1@2
509,BATH,1_open@1@2
510,STORAGE,1_open@1@1
511,TOILET,1_open@2@1
512,SLEEPING,1_open@1@3
513,CORRIDOR,1_open@0@1
514,BATH,1_open@2@1
515,TOILET,1_open@1@1
516,CORRIDOR,1_open@0@3
517,CHILDREN,1_open@1@2
518,BATH,1_open@1@2
519,CORRIDOR,1_open@0@2
520,SLEEPING,1_open@1@2
521,BATH,1_open@2@1
522,STORAGE,1_open@1@1
523,TOILET,1_open@2@1
524,WORKING,1_open@1@2
525,CORRIDOR,1_open@0@2
526,TOILET,1_open@1@1
527,CORRIDOR,1_open@1@4
528,BATH,1_open@2@1
529,SLEEPING,1_open@2@2
530,TOILET,1_open@2@2
531,CORRIDOR,1_open@0@1
532,BATH,1_open@2@1
533,ROOM,1_open@1@3
534,EXTERIOR,1_open@2@1
535,CORRIDOR,1_open@0@2
536,STORAGE,1_open@1@1
537,TOILET,1_open@2@1
538,SLEEPING,1_open@1@3
539,CORRIDOR,1_open@0@1
540,BATH,1_open@2@1
541,BATH,1_open@1@2
542,WORKING,1_open@1@2
543,CORRIDOR,1_open@0@4
544,BATH,1_open@1@1
545,BATH,1_open@1@1
546,TOILET,1_open@2@1
547,LIVING,1_open@1@4
548,CORRIDOR,1_open@0@2
549,KITCHEN,1_open@2@1
550,STORAGE,1_open@1@1
551,EXTERIOR,1_open@2@1
552,CORRIDOR,1_open@1@5
553,BATH,1_open@2@1
554,ROOM,1_open@2@2
555,KITCHEN,1_open@2@2
556,CORRIDOR,1_open@0@1
557,STORAGE,1_open@2@1
558,BATH,1_open@1@1
559,CORRIDOR,1_open@0@4
560,CHILDREN,1_open@1@1
561,BATH,1_open@1@1
562,STORAGE,1_open@1@1
563,CORRIDOR,1_open@0@3
564,SLEEPING,1_open@1@1
565,BATH,1_open@2@1
566,BATH,1_open@1@2
567,STORAGE,1_open@1@1
568,CORRIDOR,1_open@0@1
569,CORRIDOR,1_open@1@4
570,EXTERIOR,1_open@3@1
571,BATH,1_open@2@2
572,CHILDREN,1_open@2@2
573,BATH,1_open@3@1
574,STORAGE,1_open@2@1
575,TOILET,1_open@2@1
576,SLEEPING,1_open@1@3
577,CORRIDOR,1_open@0@2
578,KITCHEN,1_open@2@1
579,STORAGE,1_open@1@1
580,TOILET,1_open@1@1
581,CORRIDOR,1_open@0@3
582,CORRIDOR,1_open@2@1
583,CORRIDOR,1_open@1@2
584,KITCHEN,1_open@1@2
585,SLEEPING,1_open@2@1
586,CORRIDOR,1_open@0@1
587,CORRIDOR,1_open@1@2
588,EXTERIOR,1_open@4@1
589,KITCHEN,1_open@3@2
590,SLEEPING,1_open@2@3
591,BATH,1_open@3@1
592,CORRIDOR,1_open@1@1
593,CORRIDOR,1_open@0@3
594,CHILDREN,1_open@1@3
595,TOILET,1_open@2@1
596,TOILET,1_open@2@1
597,STORAGE,1_open@1@1
598,CORRIDOR,1_open@0@1
599,CORRIDOR,1_open@1@2
600,EXTERIOR,1_open@4@1
601,TOILET,1_open@3@2
602,SLEEPING,1_open@2@3
603,BATH,1_open@3@1
604,CORRIDOR,1_open@1@1
605,CORRIDOR,1_open@0@2
606,SLEEPING,1_open@1@3
607,TOILET,1_open@2@1
608,TOILET,1_open@2@1
609,TOILET,1_open@1@1
610,CORRIDOR,1_open@0@4
611,LIVING,1_open@1@2
612,EXTERIOR,1_open@2@2
613,EXTERIOR,1_open@1@3
614,EXTERIOR,1_open@2@1
615,STORAGE,1_open@1@1
616,CORRIDOR,1_open@1@5
617,BATH,1_open@2@1
618,SLEEPING,1_open@2@2
619,KITCHEN,1_open@2@2
620,CORRIDOR,1_open@0@1
621,STORAGE,1_open@2@1
622,STORAGE,1_open@2@1
623,SLEEPING,1_open@1@3
624,BATH,1_open@2@1
625,CORRIDOR,1_open@0@1
626,TOILET,1_open@1@2
627,WORKING,1_open@1@2
628,CORRIDOR,1_open@0@4
629,TOILET,1_open@1@1
630,BATH,1_open@1@1
631,BATH,1_open@1@2
632,ROOM,1_open@1@2
633,CORRIDOR,1_open@0@5
634,BATH,1_open@1@1
635,BATH,1_open@1@1
636,STORAGE,1_open@1@1
637,CORRIDOR,1_open@0@3
638,CHILDREN,1_open@1@2
639,BATH,1_open@1@2
640,STORAGE,1_open@1@1
641,BATH,1_open@1@1
642,CORRIDOR,1_open@0@4
643,SLEEPING,1_open@1@1
644,BATH,1_open@1@1
645,STORAGE,1_open@1@1
646,BATH,1_open@1@1
647,CORRIDOR,1_open@0@3
648,WORKING,1_open@1@1
649,TOILET,1_open@1@1
650,CORRIDOR,1_open@1@1
651,CORRIDOR,1_open@0@2
652,WORKING,1_open@1@3
653,TOILET,1_open@2@1
654,TOILET,1_open@2@1
655,CORRIDOR,1_open@1@1
656,CORRIDOR,1_open@0@2
657,SLEEPING,1_open@1@3
658,TOILET,1_open@2@1
659,TOILET,1_open@2@1
660,TOILET,1_open@2@1
661,CHILDREN,1_open@1@3
662,CORRIDOR,1_open@0@2
663,BATH,1_open@2@1
664,STORAGE,1_open@1@1
665,CORRIDOR,1_open@0@1
666,ROOM,1_open@1@2
667,BATH,1_open@2@1
668,TOILET,1_open@1@1
669,CORRIDOR,1_open@0@3
670,SLEEPING,1_open@1@2
671,KITCHEN,1_open@1@2
672,TOILET,1_open@1@1
673,CORRIDOR,1_open@0@4
674,ROOM,1_open@1@1
675,BATH,1_open@1@1
676,STORAGE,1_open@1@1
677,CORRIDOR,1_open@0@1
678,CORRIDOR,1_open@1@3
679,EXTERIOR,1_open@4@1
680,BATH,1_open@3@2
681,CHILDREN,1_open@2@3
682,BATH,1_open@3@1
683,STORAGE,1_open@2@1
684,CORRIDOR,1_open@1@1
685,CORRIDOR,1_open@0@2
686,ROOM,1_open@1@3
687,TOILET,1_open@2@1
688,KITCHEN,1_open@2@1
689,TOILET,1_open@1@1
690,CORRIDOR,1_open@0@3
691,SLEEPING,1_open@1@2
692,BATH,1_open@1@2
693,TOILET,1_open@1@1
694,CORRIDOR,1_open@0@4
695,CORRIDOR,1_open@1@1
696,LIVING,1_open@1@1
697,STORAGE,1_open@1@1
698,BATH,1_open@2@1
699,SLEEPING,1_open@1@2
700,CORRIDOR,1_open@0@2
701,STORAGE,1_open@1@1
702,BATH,1_open@2@1
703,ROOM,1_open@1@2
704,CORRIDOR,1_open@0@2
705,STORAGE,1_open@1@1
706,TOILET,1_open@1@1
707,CORRIDOR,1_open@0@3
708,CORRIDOR,1_open@1@1
709,CHILDREN,1_open@1@1
710,CORRIDOR,1_open@0@1
711,CORRIDOR,1_open@1@3
712,EXTERIOR,1_open@4@1
713,TOILET,1_open@3@2
714,SLEEPING,1_open@2@3
715,BATH,1_open@3@1
716,STORAGE,1_open@2@1
717,CORRIDOR,1_open@1@1
718,CORRIDOR,1_open@0@3
719,SLEEPING,1_open@1@3
720,TOILET,1_open@2@1
721,TOILET,1_open@2@1
722,STORAGE,1_open@1@1
723,STORAGE,1_open@2@1
724,LIVING,1_open@1@4
725,BATH,1_open@2@1
726,CORRIDOR,1_open@0@1
727,EXTERIOR,1_open@2@1
728,CORRIDOR,1_open@0@3
729,TOILET,1_open@1@1
730,KITCHEN,1_open@1@2
731,LIVING,1_open@1@2
732,TOILET,1_open@1@1
733,CORRIDOR,1_open@0@4
734,SLEEPING,1_open@1@2
735,BATH,1_open@1@2
736,STORAGE,1_open@1@1
737,CORRIDOR,1_open@0@1
738,CORRIDOR,1_open@1@4
739,EXTERIOR,1_open@3@1
740,TOILET,1_open@2@2
741,SLEEPING,1_open@2@2
742,BATH,1_open@3@1
743,STORAGE,1_open@2@1
744,CORRIDOR,1_open@0@3
745,TOILET,1_open@1@1
746,KITCHEN,1_open@1@2
747,ROOM,1_open@1@2
748,CORRIDOR,1_open@0@1
749,CORRIDOR,1_open@1@2
750,EXTERIOR,1_open@4@1
751,KITCHEN,1_open@3@2
752,LIVING,1_open@2@3
753,BATH,1_open@3@1
754,TOILET,1_open@1@1
755,CORRIDOR,1_open@0@3
756,CORRIDOR,1_open@1@1
757,ROOM,1_open@1@1
758,TOILET,1_open@1@1
759,CORRIDOR,1_open@0@4
760,CORRIDOR,1_open@1@1
761,LIVING,1_open@1@2
762,STORAGE,1_open@1@1
763,EXTERIOR,1_open@2@1
764,TOILET,1_open@1@1
765,CORRIDOR,1_open@0@4
766,LIVING,1_open@1@3
767,KITCHEN,1_open@1@2
768,STORAGE,1_open@1@1
769,EXTERIOR,1_open@2@1
770,CORRIDOR,1_open@1@1
771,CORRIDOR,1_open@0@3
772,WORKING,1_open@1@3
773,TOILET,1_open@2@1
774,TOILET,1_open@2@1
775,STORAGE,1_open@1@1
776,TOILET,1_open@1@1
777,CORRIDOR,1_open@0@3
778,SLEEPING,1_open@1@2
779,EXTERIOR,1_open@2@2
780,EXTERIOR,1_open@1@3
781,EXTERIOR,1_open@2@1
782,TOILET,1_open@1@1
783,CORRIDOR,1_open@0@3
784,WORKING,1_open@1@2
785,TOILET,1_open@1@2
786,TOILET,1_open@2@1
787,SLEEPING,1_open@1@3
788,CORRIDOR,1_open@0@1
789,TOILET,1_open@2@1
790,CORRIDOR,1_open@0@1
791,LIVING,1_open@1@3
792,BATH,1_open@2@1
793,EXTERIOR,1_open@2@1
794,BATH,1_open@1@1
795,CORRIDOR,1_open@0@4
796,SLEEPING,1_open@1@1
797,TOILET,1_open@1@1
798,STORAGE,1_open@1@1
799,CORRIDOR,1_open@1@1
800,CORRIDOR,1_open@0@3
801,WORKING,1_open@1@3
802,TOILET,1_open@2@1
803,BATH,1_open@2@1
804,STORAGE,1_open@1@1
805,CORRIDOR,1_open@1@1
806,CORRIDOR,1_open@0@3
807,SLEEPING,1_open@1@3
808,TOILET,1_open@2@1
809,TOILET,1_open@2@1
810,STORAGE,1_open@1@1
811,TOILET,1_open@2@1
812,SLEEPING,1_open@1@3
813,CORRIDOR,1_open@0@2
814,TOILET,1_open@2@1
815,STORAGE,1_open@1@1
816,BATH,1_open@1@1
817,CORRIDOR,1_open@0@3
818,WORKING,1_open@1@1
819,BATH,1_open@1@1
820,CORRIDOR,1_open@0@1
821,CORRIDOR,1_open@1@3
822,EXTERIOR,1_open@4@1
823,KITCHEN,1_open@3@2
824,SLEEPING,1_open@2@3
825,BATH,1_open@3@1
826,STORAGE,1_open@2@1
827,STORAGE,1_open@2@1
828,LIVING,1_open@1@3
829,BATH,1_open@2@1
830,CORRIDOR,1_open@0@1
831,CORRIDOR,1_open@0@2
832,WORKING,1_open@1@2
833,BATH,1_open@2@1
834,STORAGE,1_open@1@1
835,TOILET,1_open@2@1
836,ROOM,1_open@1@3
837,CORRIDOR,1_open@0@1
838,BATH,1_open@2@1
839,TOILET,1_open@1@1
840,CORRIDOR,1_open@0@3
841,WORKING,1_open@1@2
842,EXTERIOR,1_open@2@2
843,EXTERIOR,1_open@1@3
844,EXTERIOR,1_open@2@1
845,TOILET,1_open@1@1
846,CORRIDOR,1_open@0@4
847,CORRIDOR,1_open@1@1
848,SLEEPING,1_open@1@1
849,STORAGE,1_open@1@1
850,TOILET,1_open@2@1
851,SLEEPING,1_open@1@3
852,CORRIDOR,1_open@0@2
